DATE,EXPTOTVI
1995-08-01,7.2
1995-09-01,15.1
1995-10-01,18.5
1995-11-01,20.5
1995-12-01,19.0
1996-01-01,27.9
1996-02-01,12.6
1996-03-01,11.3
1996-04-01,9.2
1996-05-01,16.7
1996-06-01,37.0
1996-07-01,5.4
1996-08-01,5.5
1996-09-01,9.4
1996-10-01,4.1
1996-11-01,27.9
1996-12-01,16.6
1997-01-01,9.3
1997-02-01,20.3
1997-03-01,17.2
1997-04-01,15.5
1997-05-01,25.6
1997-06-01,24.3
1997-07-01,28.9
1997-08-01,18.6
1997-09-01,11.6
1997-10-01,9.4
1997-11-01,27.2
1997-12-01,24.8
1998-01-01,15.6
1998-02-01,10.5
1998-03-01,9.7
1998-04-01,9.0
1998-05-01,11.0
1998-06-01,3.9
1998-07-01,7.3
1998-08-01,3.2
1998-09-01,4.8
1998-10-01,3.8
1998-11-01,9.4
1998-12-01,1.4
1999-01-01,3.4
1999-02-01,30.1
1999-03-01,7.2
1999-04-01,3.0
1999-05-01,9.0
1999-06-01,7.2
1999-07-01,4.3
1999-08-01,28.1
1999-09-01,12.0
1999-10-01,17.2
1999-11-01,14.5
1999-12-01,18.9
2000-01-01,9.4
2000-02-01,14.8
2000-03-01,38.8
2000-04-01,34.7
2000-05-01,16.4
2000-06-01,5.0
2000-07-01,11.5
2000-08-01,10.3
2000-09-01,6.4
2000-10-01,17.1
2000-11-01,5.9
2000-12-01,4.1
2001-01-01,11.5
2001-02-01,10.8
2001-03-01,5.0
2001-04-01,33.3
2001-05-01,8.1
2001-06-01,12.9
2001-07-01,6.4
2001-08-01,30.7
2001-09-01,16.5
2001-10-01,8.5
2001-11-01,6.4
2001-12-01,37.0
2002-01-01,21.7
2002-02-01,19.1
2002-03-01,23.9
2002-04-01,19.6
2002-05-01,13.6
2002-06-01,9.6
2002-07-01,40.2
2002-08-01,5.5
2002-09-01,10.4
2002-10-01,30.9
2002-11-01,26.0
2002-12-01,37.2
2003-01-01,19.9
2003-02-01,23.0
2003-03-01,35.8
2003-04-01,19.6
2003-05-01,16.2
2003-06-01,18.7
2003-07-01,26.6
2003-08-01,11.4
2003-09-01,26.5
2003-10-01,20.5
2003-11-01,19.6
2003-12-01,15.1
2004-01-01,35.9
2004-02-01,19.1
2004-03-01,45.9
2004-04-01,43.4
2004-05-01,14.6
2004-06-01,27.7
2004-07-01,4.0
2004-08-01,18.8
2004-09-01,49.0
2004-10-01,69.9
2004-11-01,23.2
2004-12-01,38.0
2005-01-01,17.8
2005-02-01,41.7
2005-03-01,35.7
2005-04-01,64.4
2005-05-01,7.2
2005-06-01,85.2
2005-07-01,96.3
2005-08-01,39.8
2005-09-01,43.5
2005-10-01,14.8
2005-11-01,40.6
2005-12-01,51.6
2006-01-01,68.7
2006-02-01,33.1
2006-03-01,50.2
2006-04-01,79.6
2006-05-01,54.4
2006-06-01,14.3
2006-07-01,44.9
2006-08-01,39.6
2006-09-01,57.4
2006-10-01,70.1
2006-11-01,41.6
2006-12-01,69.7
2007-01-01,27.4
2007-02-01,74.6
2007-03-01,31.3
2007-04-01,88.0
2007-05-01,5.6
2007-06-01,57.4
2007-07-01,16.0
2007-08-01,117.2
2007-09-01,66.4
2007-10-01,51.4
2007-11-01,38.7
2007-12-01,222.8
2008-01-01,78.3
2008-02-01,212.9
2008-03-01,213.6
2008-04-01,66.2
2008-05-01,112.1
2008-06-01,769.1
2008-07-01,261.7
2008-08-01,241.4
2008-09-01,343.9
2008-10-01,267.3
2008-11-01,70.9
2008-12-01,125.6
2009-01-01,37.9
2009-02-01,47.1
2009-03-01,68.6
2009-04-01,99.9
2009-05-01,149.9
2009-06-01,125.6
2009-07-01,179.5
2009-08-01,140.1
2009-09-01,134.7
2009-10-01,108.7
2009-11-01,71.1
2009-12-01,77.7
2010-01-01,132.2
2010-02-01,117.9
2010-03-01,154.4
2010-04-01,145.4
2010-05-01,156.1
2010-06-01,136.3
2010-07-01,205.4
2010-08-01,186.1
2010-09-01,215.1
2010-10-01,206.9
2010-11-01,126.9
2010-12-01,123.5
2011-01-01,217.0
2011-02-01,137.6
2011-03-01,100.4
2011-04-01,189.7
2011-05-01,295.0
2011-06-01,279.3
2011-07-01,339.8
2011-08-01,195.6
2011-09-01,77.0
2011-10-01,142.7
2011-11-01,197.3
2011-12-01,121.7
2012-01-01,104.5
2012-02-01,152.9
2012-03-01,69.8
2012-04-01,59.9
2012-05-01,63.5
2012-06-01,58.2
2012-07-01,34.7
2012-08-01,40.1
2012-09-01,78.4
2012-10-01,65.9
2012-11-01,66.6
2012-12-01,75.8
2013-01-01,107.586019
2013-02-01,95.795415
2013-03-01,141.424365
2013-04-01,160.100372
2013-05-01,68.419769
2013-06-01,61.416275
2013-07-01,55.777655
2013-08-01,96.024746
2013-09-01,63.914842
2013-10-01,56.950191
2013-11-01,43.682348
2013-12-01,46.350555
2014-01-01,47.080861
2014-02-01,71.199792
2014-03-01,115.610356
2014-04-01,234.998853
2014-05-01,89.764732
2014-06-01,108.317338
2014-07-01,116.38138
2014-08-01,118.073127
2014-09-01,124.691421
2014-10-01,144.069909
2014-11-01,117.168022
2014-12-01,117.943037
2015-01-01,56.483192
2015-02-01,41.390537
2015-03-01,12.632577
2015-04-01,4.410162
2015-05-01,5.823959
2015-06-01,5.102847
2015-07-01,3.750727
2015-08-01,1.336842
2015-09-01,1.870211
2015-10-01,6.456792
2015-11-01,6.254225
2015-12-01,3.78527
2016-01-01,3.786224
2016-02-01,4.75155
2016-03-01,3.466683
2016-04-01,21.934834
2016-05-01,23.279806
2016-06-01,6.703034
2016-07-01,9.894341
2016-08-01,33.646683
2016-09-01,51.872314
2016-10-01,29.130451
2016-11-01,60.242743
2016-12-01,47.758327
2017-01-01,104.347975
2017-02-01,70.292304
2017-03-01,80.823288
2017-04-01,77.296314
2017-05-01,48.855485
2017-06-01,106.253147
2017-07-01,107.004164
2017-08-01,63.793343
2017-09-01,81.757236
2017-10-01,101.849567
2017-11-01,79.993823
2017-12-01,62.716313
2018-01-01,34.159468
2018-02-01,37.434434
2018-03-01,105.047395
2018-04-01,47.772051
2018-05-01,30.366982
2018-06-01,30.883471
2018-07-01,70.101634
2018-08-01,25.358569
2018-09-01,35.897451
2018-10-01,37.466591
2018-11-01,116.583515
2018-12-01,48.93783
2019-01-01,66.508854
2019-02-01,44.852195
2019-03-01,84.191489
2019-04-01,85.528304
2019-05-01,34.060825
2019-06-01,39.180133
2019-07-01,28.608943
2019-08-01,20.236027
2019-09-01,29.735829
2019-10-01,101.223254
2019-11-01,53.084578
2019-12-01,95.48468
2020-01-01,23.923816
2020-02-01,26.553586
2020-03-01,25.979486
2020-04-01,28.978291
2020-05-01,11.033347
2020-06-01,33.245472
2020-07-01,34.949332
2020-08-01,75.813284
2020-09-01,33.124096
2020-10-01,57.115198
2020-11-01,110.671727
2020-12-01,115.12081
2021-01-01,133.752303
2021-02-01,140.338692
2021-03-01,48.827633
2021-04-01,50.678896
2021-05-01,112.28786
2021-06-01,381.640434
2021-07-01,47.677975
2021-08-01,230.839789
2021-09-01,97.041562
2021-10-01,81.101373
2021-11-01,118.746082
2021-12-01,78.940938
2022-01-01,92.27134
2022-02-01,59.804347
