DATE,EXPNONPR
1995-08-01,7.2
1995-09-01,5.8
1995-10-01,7.0
1995-11-01,6.7
1995-12-01,3.7
1996-01-01,2.9
1996-02-01,6.0
1996-03-01,5.3
1996-04-01,6.4
1996-05-01,9.3
1996-06-01,8.6
1996-07-01,7.9
1996-08-01,21.8
1996-09-01,3.9
1996-10-01,2.2
1996-11-01,11.7
1996-12-01,3.4
1997-01-01,2.4
1997-02-01,3.5
1997-03-01,6.0
1997-04-01,6.7
1997-05-01,12.4
1997-06-01,8.6
1997-07-01,7.4
1997-08-01,5.1
1997-09-01,4.7
1997-10-01,2.6
1997-11-01,3.1
1997-12-01,2.7
1998-01-01,2.5
1998-02-01,3.3
1998-03-01,3.2
1998-04-01,5.2
1998-05-01,6.8
1998-06-01,5.0
1998-07-01,6.3
1998-08-01,5.0
1998-09-01,4.0
1998-10-01,1.5
1998-11-01,1.8
1998-12-01,2.0
1999-01-01,1.5
1999-02-01,1.5
1999-03-01,2.2
1999-04-01,3.6
1999-05-01,4.9
1999-06-01,6.5
1999-07-01,6.3
1999-08-01,5.9
1999-09-01,5.7
1999-10-01,2.8
1999-11-01,2.0
1999-12-01,7.5
2000-01-01,2.3
2000-02-01,3.6
2000-03-01,3.2
2000-04-01,6.9
2000-05-01,11.4
2000-06-01,8.3
2000-07-01,6.5
2000-08-01,14.1
2000-09-01,9.0
2000-10-01,3.3
2000-11-01,4.9
2000-12-01,5.1
2001-01-01,4.3
2001-02-01,5.0
2001-03-01,4.8
2001-04-01,5.2
2001-05-01,5.3
2001-06-01,7.9
2001-07-01,6.7
2001-08-01,6.0
2001-09-01,4.4
2001-10-01,5.8
2001-11-01,5.5
2001-12-01,4.3
2002-01-01,5.1
2002-02-01,4.6
2002-03-01,8.1
2002-04-01,13.9
2002-05-01,6.6
2002-06-01,5.9
2002-07-01,9.2
2002-08-01,5.3
2002-09-01,4.7
2002-10-01,7.7
2002-11-01,6.1
2002-12-01,4.3
2003-01-01,6.5
2003-02-01,5.8
2003-03-01,5.4
2003-04-01,5.3
2003-05-01,6.6
2003-06-01,6.8
2003-07-01,9.0
2003-08-01,5.8
2003-09-01,4.6
2003-10-01,5.1
2003-11-01,5.3
2003-12-01,4.1
2004-01-01,4.9
2004-02-01,4.7
2004-03-01,6.8
2004-04-01,7.1
2004-05-01,7.8
2004-06-01,10.2
2004-07-01,10.2
2004-08-01,6.0
2004-09-01,11.6
2004-10-01,5.0
2004-11-01,4.4
2004-12-01,4.7
2005-01-01,5.0
2005-02-01,4.8
2005-03-01,7.8
2005-04-01,6.7
2005-05-01,11.3
2005-06-01,8.3
2005-07-01,8.7
2005-08-01,7.8
2005-09-01,7.1
2005-10-01,5.7
2005-11-01,6.6
2005-12-01,9.5
2006-01-01,6.9
2006-02-01,7.5
2006-03-01,11.0
2006-04-01,11.3
2006-05-01,11.6
2006-06-01,15.4
2006-07-01,13.7
2006-08-01,12.7
2006-09-01,12.8
2006-10-01,10.8
2006-11-01,9.2
2006-12-01,12.5
2007-01-01,16.8
2007-02-01,12.3
2007-03-01,18.3
2007-04-01,20.5
2007-05-01,13.9
2007-06-01,24.4
2007-07-01,18.9
2007-08-01,16.7
2007-09-01,17.6
2007-10-01,19.5
2007-11-01,36.2
2007-12-01,63.9
2008-01-01,12.8
2008-02-01,14.9
2008-03-01,14.8
2008-04-01,15.1
2008-05-01,18.0
2008-06-01,21.2
2008-07-01,18.9
2008-08-01,24.7
2008-09-01,18.3
2008-10-01,18.1
2008-11-01,9.3
2008-12-01,23.8
2009-01-01,24.7
2009-02-01,27.6
2009-03-01,48.4
2009-04-01,32.9
2009-05-01,13.1
2009-06-01,20.6
2009-07-01,16.4
2009-08-01,29.3
2009-09-01,16.6
2009-10-01,18.4
2009-11-01,16.0
2009-12-01,66.2
2010-01-01,30.9
2010-02-01,30.6
2010-03-01,60.3
2010-04-01,33.1
2010-05-01,27.4
2010-06-01,52.7
2010-07-01,26.0
2010-08-01,40.9
2010-09-01,55.6
2010-10-01,31.0
2010-11-01,22.9
2010-12-01,65.3
2011-01-01,22.9
2011-02-01,61.7
2011-03-01,24.0
2011-04-01,29.1
2011-05-01,27.6
2011-06-01,25.4
2011-07-01,24.0
2011-08-01,37.7
2011-09-01,23.9
2011-10-01,24.9
2011-11-01,26.5
2011-12-01,24.1
2012-01-01,20.0
2012-02-01,29.3
2012-03-01,28.3
2012-04-01,21.1
2012-05-01,32.6
2012-06-01,25.3
2012-07-01,21.9
2012-08-01,26.5
2012-09-01,18.6
2012-10-01,18.6
2012-11-01,23.2
2012-12-01,18.1
2013-01-01,16.53956
2013-02-01,27.509281
2013-03-01,23.682568
2013-04-01,19.425529
2013-05-01,36.939569
2013-06-01,19.681449
2013-07-01,18.638791
2013-08-01,25.017921
2013-09-01,15.504265
2013-10-01,24.470807
2013-11-01,18.288781
2013-12-01,15.565298
2014-01-01,20.532368
2014-02-01,18.108581
2014-03-01,25.112518
2014-04-01,18.539195
2014-05-01,21.364439
2014-06-01,27.631721
2014-07-01,19.372897
2014-08-01,27.63414
2014-09-01,14.492685
2014-10-01,20.815142
2014-11-01,14.746563
2014-12-01,18.190423
2015-01-01,9.481305
2015-02-01,14.988728
2015-03-01,15.117748
2015-04-01,15.145344
2015-05-01,13.887087
2015-06-01,18.886235
2015-07-01,16.635091
2015-08-01,14.757745
2015-09-01,8.885188
2015-10-01,11.995538
2015-11-01,9.600145
2015-12-01,9.277589
2016-01-01,6.367764
2016-02-01,12.738192
2016-03-01,11.061833
2016-04-01,12.299606
2016-05-01,53.604438
2016-06-01,13.1157
2016-07-01,12.088649
2016-08-01,12.358233
2016-09-01,9.46046
2016-10-01,11.79855
2016-11-01,53.056172
2016-12-01,12.889134
2017-01-01,13.740307
2017-02-01,12.89874
2017-03-01,29.615341
2017-04-01,31.679162
2017-05-01,18.063962
2017-06-01,11.935173
2017-07-01,11.908366
2017-08-01,15.71123
2017-09-01,10.427072
2017-10-01,10.058555
2017-11-01,8.504032
2017-12-01,9.561525
2018-01-01,16.968659
2018-02-01,18.283091
2018-03-01,14.81157
2018-04-01,28.397706
2018-05-01,16.710551
2018-06-01,16.422294
2018-07-01,22.808344
2018-08-01,25.212721
2018-09-01,14.044093
2018-10-01,15.759006
2018-11-01,15.0717
2018-12-01,15.914046
2019-01-01,16.16214
2019-02-01,17.160872
2019-03-01,15.188911
2019-04-01,15.348812
2019-05-01,17.685037
2019-06-01,18.452071
2019-07-01,14.771582
2019-08-01,16.016058
2019-09-01,13.916542
2019-10-01,11.376553
2019-11-01,13.692044
2019-12-01,13.520225
2020-01-01,8.85655
2020-02-01,8.641712
2020-03-01,16.364081
2020-04-01,4.167322
2020-05-01,12.276637
2020-06-01,9.105086
2020-07-01,10.251241
2020-08-01,14.348849
2020-09-01,8.587477
2020-10-01,10.689115
2020-11-01,16.263683
2020-12-01,10.510487
2021-01-01,14.157191
2021-02-01,14.45857
2021-03-01,11.178213
2021-04-01,18.563732
2021-05-01,17.859436
2021-06-01,15.248719
2021-07-01,16.920519
2021-08-01,20.093574
2021-09-01,14.036944
2021-10-01,13.796523
2021-11-01,22.824196
2021-12-01,17.479179
2022-01-01,11.393951
2022-02-01,26.748534
